UNITID,F1A01,F1A09,F1B01,F1H02   
178411,138511797,26529862,66493653,154064400
178420,127727068,23409274,83950734,61629324
178439,1142034342,1775652395,0,169065817
178448,15635478,3659757,10554825,1708816
178466,,,1498251,
178606,,,1887,
178615,25950378,15462368,28015354,33154361
178624,45186364,15151317,36125634,25920493
178828,,,207479,
179052,,,861033,
179238,,,515694,
179308,64553836,21083896,28071264,
179344,7161617,1066452,1185587,
179539,18446056,2536282,6549098,10125170
179557,47005385,33450427,71113044,63665334
179566,148908688,42026435,104821147,68998762
179645,18356871,7346176,1643229,680612
179715,13704508,2364284,1752124,756218
179724,,,253642,
179742,,,294090,
180151,2483817,898085,910646,1291789
180160,5263651,3781403,277021,958573
180179,41077133,7641182,24126479,18387339
180197,14834866,3739074,7356372,6495073
180203,474638,493163,331612,1449948
180212,6032275,1719302,618093,2794385
180249,6850231,1967348,4172280,11300
180276,2570438,712488,3570005,76422
180328,5144824,775024,128219,3092915
180373,3702652,549156,1553877,782811
180416,26050090,5669431,14353313,27356944
180461,156378808,59613393,119302629,105750482
180489,70179866,76226437,97148925,141550438
180522,8760280,3664240,5922305,3750537
180692,7544433,1488519,7239844,3656984
180902,32446619,6405454,7007233,5466957
180948,8736986,3085384,8413958,17652795
181215,49080611,20813271,27268184,65712
181303,76043267,12475502,20131876,2075792
181312,16726158,2467382,4198112,5170326
181394,90809069,31292648,74218155,4550516
181419,2145254,159840,555226,382314
181428,274160747,86619322,50383781,11231107
181464,493928481,176788423,183365523,175271181
181491,36498723,4246932,6071939,
181534,5343692,2350377,5569429,7486703
181640,45038011,3761238,19433814,15792327
181747,83661124,22075419,0,36135115
181765,3527453,1472566,877056,209690
181783,20591231,4544974,11857808,14833645
181817,19971467,3979976,2594591,2823911
182005,68787000,18176000,45575000,5373000
182281,347988000,84003000,158324000,187758000
182290,185499357,87710558,115856499,218207734
182306,8979000,2896000,4498000,223000
182500,33595000,6291000,14385000,9144000
182519,111529000,10821000,0,10843000
182564,9277000,2532000,3680000,232000
183044,195753359,46712708,190274919,248650293
183062,34377184,6504523,57862830,20560318
183071,382057,186442,10273180,1667730
183080,47411543,7327060,53890735,10271839
183099,8611450,3113129,22205005,575145
183105,1654486,531581,4109741,17285
183114,1985709,590442,4852930,24944
183123,2379587,707560,5968692,67678
183132,5163388,1895311,12372427,91849
183141,4233777,1688410,10569107,1
183150,3666490,1421725,10138409,262277
183257,9665292,982526,9774950,2170589
183327,48048306,90154811,0,262097247
183655,21399050,8817765,13825930,3095057
183743,54513618,11843146,56964647,
183859,34258936,14453082,30131024,1394771
183877,26713739,14051152,19607956,1672976
183938,31255607,16603232,31393703,583887
183983,,,774925,
184180,28178570,9486408,28571503,3866569
184205,12297682,4142460,6450854,3802250
184481,51718223,11414145,40767476,
184782,174871749,56455037,103317027,111016668
184791,19130845,5079960,18250265,2082233
184995,27207810,7111465,7063134,
185129,53875684,30609873,54041542,6640883
185262,144669013,40897664,103586408,13399231
185509,13818159,10136172,19802081,8261277
185536,53682379,12070932,47245256,9971056
185590,175213000,64514000,145946680,36460000
185828,93436000,55750000,103442000,82925000
185873,39418813,8884164,24962476,5210257
186034,15917126,3464494,10023950,78694
186201,135204000,30579000,54307000,12986180
186380,733629000,425823000,670592000,703701000
186469,3665057,934601,4737823,1859630
186645,14292023,10059071,19241585,870340
186876,123600143,40268838,58910853,23109188
187046,50669113,16773346,48041444,3941379
187134,103666000,38850000,88326000,26355000
187198,31064684,11342448,28609878,12466863
187444,143981628,33457676,99316173,7046089
187532,87524520,23300412,14329475,5576394
187596,10486457,4054373,895730,408000
187620,18208640,1652259,6164924,361058
187639,9122600,1928703,1926150,453826
187648,16160421,10433083,13635439,18416768
187666,16226324,4347167,2505333,575466
187745,3839174,3853297,1116083,4871020
187897,11560171,9472991,10914886,2820785
187903,18593462,2705925,3779883,6238839
187912,22229627,3100788,4023895,432016832
187958,,,2155141,
187967,73271638,12103490,9090036,28283733
187976,,,543830,
187985,731829044,257020319,124982306,374430327
187994,5763606,480440,2558418,174481
188003,13291607,330751,1022232,142758
188021,4265829,159911,753322,105779
188030,118613889,62967891,58222826,98353120
188049,,,1650980,
188058,2078272,2896244,983830,2986637
188100,22247248,7097987,6340426,18964465
188137,29932521,12998700,4073695,
188216,,,237032,
188225,,,968346,
188261,4530679,295854,268016,627773
188304,23645225,5379297,6427646,12887480
188438,18445184,13962417,7054342,1048909
189547,15619671,11598922,13731201,12984383
189839,11121007,11164995,10696353,12248422
190035,953676734,600397439,10575793,26939011
190053,4895810,2889479,3396949,
190169,6889640,2254754,1838318,
190442,22453527,12174847,3499869,535491
190512,52632423,54423408,97172191,138702098
190521,62956479,59255837,34709231,5234518
190530,27841681,34872511,8063738,329366
190549,44395338,42399010,59524269,71031902
190558,26402286,27920300,45350888,5056186
190567,48061690,51982390,54848042,215349296
190576,26352607,19841318,23796109,48249378
190585,12492749,17116939,7071261,913962
190594,77977757,51561531,109035332,73847746
190600,33583721,41737340,48285560,5835244
190619,25074949,29373458,21195316,1047084
190628,21798993,29591283,35795036,2565127
190637,28640740,32195918,35175021,7198858
190646,14831789,20430814,12209523,413450
190655,34744387,33661205,39129534,12529191
190664,44606520,46684188,77254265,43646661
190673,22114578,19790400,35956357,8894385
190682,4699318,6356207,6028530,1610369
190691,17313543,18934727,20882444,691294
190840,26262625,15661598,22464102,7466984
191083,51855486,26299937,36066607,1860986
191126,111742499,44401294,69981837,31874878
191199,12648645,8690828,7673191,926349
191302,4805617,3208443,3890400,2093163
191339,21404039,14293758,7284330,2678525
191612,19051183,5960744,7339856,930018
191719,62194254,43441997,32541516,5634889
191986,27778734,16593823,8917137,
192022,16272834,10231963,6289742,3397099
193122,,,1220176,
193283,20970604,7339852,14923270,
193326,50742263,20843653,29447438,8626030
193478,70029682,41595851,47971564,
193946,32918891,16670059,12421966,7452428
194028,5497305,1847841,3249665,
194222,48564704,36939332,21644136,9104211
194240,28807963,11857770,18615479,
194259,,,63515,
195058,20335483,12950301,17295178,3415590
195322,16392690,6472044,4334263,4487103
195827,229688822,138720793,0,268391
195988,4320682,7187825,3759422,1027775
196006,23518218,17410806,11349272,4092406
196015,29338582,13706015,11189137,9130239
196024,26809296,11438211,10502640,3769888
196033,21740945,14935793,9877579,3737993
196042,37371702,36657118,37026756,5361314
196051,13083812,19337627,9398033,1352293
196060,205200923,168254118,90125680,40278149
196079,237358060,97342475,101218329,73902084
196088,240345973,178809022,215813849,554392383
196097,606307037,332362209,168672430,154681221
196103,18083230,17874042,9660917,21820983
196112,7986019,12616117,9561480,2499358
196121,27124962,40551655,35449083,7707818
196130,97753578,71747145,41649297,28580979
196149,32708053,40977435,37008454,25904941
196158,51634194,28417594,27241737,24546525
196167,49123639,26206839,29565527,21584470
196176,52459000,36662855,41778910,15030326
196185,42371832,30683418,28116595,37317987
196194,60949746,47826951,36616032,16468898
196200,16147820,29660329,19601449,21216971
196219,39384454,27593711,27055251,54418180
196228,17252369,14492852,7189850,3084674
196237,30461934,23158009,16456141,179649
196246,44030501,25763741,29827937,15570073
196255,257655234,235940407,32377213,17952532
196264,27636492,14667293,39604462,17518087
196291,31621680,19386935,12646120,4296166
196307,297531206,198617585,26056245,52205348
196565,9353248,8923422,12891825,14861382
196699,10312023,9421191,7276640,6653487
197027,,,827037,
197036,,,0,
197294,96570458,78730032,36637422,
197814,4153363,702443,2198836,4069786
197850,3949012,854711,2204193,1359625
197869,88736416,33382345,100533732,78587419
197887,10148641,3517373,8878147,
197966,1421127,683246,1064688,1791567
198011,1547794,561148,699475,310000
198039,2330762,790293,2196726,8994323
198084,1832853,635433,863253,292626
198118,10465989,1472921,3687929,307054
198154,9599623,7084958,10472450,4360728
198206,2151312,513894,1607618,1401466
198233,8961422,1603976,4403961,
198251,4121948,1222973,4426231,3138070
198260,30927785,10445563,25038789,
198321,6008706,638026,1447986,622170
198330,9433921,1144754,6017201,3070766
198367,7384364,1396791,4049462,1768589
198376,6899753,2089030,2789408,9393379
198455,2573553,1637588,4913988,
198464,287260558,61006418,162272427,144701141
198491,3111343,1593056,1038150,
198507,16016537,5552663,9408972,5086627
198534,20782070,3229953,14314035,39050
198543,14617531,6324353,16959618,17873602
198552,10264168,2624200,8238493,1175137
198570,13074050,2212425,5196431,5151071
198622,40772025,6413401,6581573,3155594
198640,1995657,512242,613599,1044177
198668,6252554,852673,1482903,6740306
198710,5666539,976719,1301882,1677785
198729,2472340,531449,785700,
198774,5915874,1486769,2728539,4202007
198817,3037519,1240523,2035582,3069315
198905,2342124,194698,426836,
198914,961299,494820,617791,1260183
198923,1519460,508120,770107,290786
198987,6411491,1227841,2595937,2521443
199023,873565,347186,705343,2512734
199087,2861371,1395878,2290602,3920820
199102,52729910,10925781,49980990,37337289
199111,24954324,6223223,20372368,33934742
199120,1556408771,310153934,348049137,2344279691
199139,233253998,37028763,160088675,146504050
199148,135328652,29525107,90250294,224566440
199157,35771134,13173616,39813206,22924086
199175,52151462,19210689,0,58048004
199184,19756497,4663324,10793131,37280551
199193,432773142,119556573,242771900,769404000
199218,103164866,17787096,93042367,73765160
199263,925352,151845,387067,507531
199281,26257340,6486843,20489030,18185553
199324,1363551,768297,1445587,655153
199333,10890574,3035834,8590018,1139563
199421,3527483,574588,2074153,4391485
199449,2211152,1158829,1194583,
199467,651402,367828,399305,
199476,3490939,1669466,1392204,1741368
199485,3417623,731690,1593132,5679124
199494,8933645,3031202,4554606,575696
199625,1836168,366526,981863,
199634,6171466,1112717,3976628,8254229
199722,3427496,1072691,1434429,3120618
199731,4292946,987499,2228061,1178190
199740,2118779,893632,2253279,
199768,5328259,884553,2429021,4509807
199786,3806264,502437,4168003,8289638
199795,2535951,328942,695602,210800
199838,7508401,705681,4287144,4496412
199856,20820039,8270261,25833769,3215478
199892,3998064,854138,2819522,92409
199908,5816628,954897,1693102,2015417
199926,5071494,1494294,1918062,4350409
199953,4475104,357304,1289688,974240
199999,26053148,13153226,22749075,21449540
200004,81985890,10366178,46456244,54512650
200022,13521399,4590098,11557155,8031330
200059,16151193,2080180,7196503,10939581
200086,3390952,597023,685877,1266269
200192,4173022,1881803,3745642,5554786
200208,2112577,509424,565206,1334390
200226,5112492,2180859,4078772,
200253,22064982,5746635,13900069,14538704
200280,104979699,39552527,126584059,13505465
200305,15192480,3347992,8081046,10938770
200314,2218486,232188,1269331,2095639
200332,86431265,43220539,100397231,368855
200341,2642315,1825144,1184780,52200
200466,2584896,1073992,1059134,1306885
200572,5401984,4520721,5602656,4983897
200800,223183730,81090365,222810654,206921969
200828,,,165180,
201034,,,899422,
201098,,,758565,
201131,,,566628,
201159,,,780448,
201283,15695051,931447,4081827,422961
201441,216662869,51212863,148142241,168007210
201478,,,775257,
201496,,,3435883,
201539,,,750796,
201672,17278008,2996419,12265884,2508891
201690,19560545,15414941,9083604,2504456
201803,,,436568,
201885,251900730,273349427,377974996,1044197744
201928,22553112,17499700,24234343,4887770
201946,,,15449749,1437907
201955,,,21447722,213513
201973,20045999,3644979,8702024,9196351
202134,62295306,48069690,153869978,7441212
202152,,,431069,
202222,159368649,38905979,63683289,
202356,205669853,133668394,46971771,39569022
202648,6462479,1977367,4199394,1727973
202657,,,2067776,
202949,,,2705811,
202985,,,548965,
203030,,,218539,
203155,14652914,10246650,19713165,4805344
203331,6018722,1104712,3424149,262987
203447,,,8985446,
203456,,,4207076,
203465,,,19502737,
203474,,,11710804,
203483,,,9082214,
203492,,,6956298,
203517,315659000,138378000,253789147,100467795
203526,,,7976326,
203599,32132120,27522633,10106022,2451612
203614,,,2062358,
203678,16128607,2384163,9903014,1311257
203748,52060331,18100158,18106815,34478431
203881,5495503,1897889,5366313,
203942,,,403617,
204006,,,13262031,
204015,,,6836937,
204024,630190581,98914522,268335589,571684712
204158,,,3163150,
204255,22895942,6065459,10159017,3416328
204422,7470116,6078395,6181614,2938609
204440,9979134,3927755,9760239,1053519
204459,,,348248,
204477,67524034,12518548,25133726,9871119
204662,5520070,294893,4064657,3272735
204671,1825400,1040471,6795869,4851499
204680,7885968,1277233,7487710,2050691
204699,16084882,1235702,7291444,4765444
204705,11405589,2003165,13394561,3287025
204796,1689063088,1151280038,777726949,3130941782
204802,,,2346303,
204820,,,5251431,
204839,,,4128187,
204848,,,6158032,
204857,433133673,107012062,283625577,446747523
204866,,,4892258,
204945,37784174,34363386,27472048,1639117
204981,,,1072354,
205443,9080774,7686102,24513333,15227858
205470,98511350,37870834,25459248,44072417
205841,36920982,8496289,30250282,4051826
205966,10772007,1234215,11344509,1935671
206011,12683213,2812222,3334057,3550470
206084,198124474,157286525,215322182,52613237
206172,,,642048,
206181,,,889644,
206321,,,896312,
206446,10475761,3595821,4764652,315750
206604,133336424,76668328,136850963,108590573
206613,,,5662918,
206695,68038365,26017851,88938239,212374889
206905,,,523199,
206914,13821891,6010348,18996409,15873511
206923,11667371,1251078,5135415,6654991
206941,103295938,22790838,77479001,28641057
206996,8826686,2255666,2581611,
207041,24681983,7504702,17773611,3891000
207050,6547992,1994894,2309935,1950248
207069,2433898,3596551,696421,483326
207209,34238335,10140898,7268150,42596710
207236,19822294,1254765,4939995,25142
207263,54616993,12661892,28986005,12160372
207281,20133582,3536593,8282834,515162
207290,6332597,1956074,2028206,4539365
207306,5022438,1793533,5881833,14859945
207315,53292940,5637055,10137172,5854179
207342,695267000,112204000,57222000,39071000
207351,5370274,2901620,5359579,3997700
207388,271635458,87166587,229373305,389521545
207397,20400678,4510833,11508613,103331
207449,21280861,14307393,17568966,296574
207500,387652000,205414000,239609000,845635000
207564,23848029,5610721,6317776,3576997
207661,15726906,5416439,12563500,8822991
207670,24571833,3572686,4907988,
207722,10618181,2425442,2705454,10692111
207740,1715629,1751555,657487,
207847,5949640,5871683,14915643,19534019
207865,18385178,7908726,16949423,18928897
207935,58206426,15227442,9331749,4543581
208026,,,219021,
208035,7846932,714491,5268469,4554159
208053,,,243620,
208275,8576208,3106343,6788399,2389559
208318,43891085,8375446,14541041,13264879
208390,102120528,17073699,39195722,4078717
208406,30630030,10680039,17765226,12652742
208415,4252909,5456477,3371346,2739934
208646,6888639,7357889,13934438,9153097
209038,87250197,35186294,47533472,11229200
209074,18829304,10757149,15216829,3712285
209250,30338000,19936000,24821000,
209445,55714277,147553348,105184,9937123
209490,809805000,348883000,55311000,463968000
209506,12216804,8771657,19065889,19629472
209542,155340509,107494280,228436164,478592809
209551,159976175,119537551,344312806,581092605
209746,214307219,72612157,60844870,
209807,87348267,73117796,174346239,71896178
209940,19914939,3847703,18381641,6777261
210146,10986764,10280582,26241720,24636650
210155,3590292,3806630,2198456,731551
210234,4352683,2968627,7554802,5243067
210270,12660757,3571843,3185431,4481734
210429,19020221,13188187,28684384,11516909
210605,33162554,21348815,28427174,7694367
211079,3633272,4181646,11134337,863699
211158,109885860,36250359,73201164,22860482
211307,21959257,15410633,33039418,5453324
211343,18184062,7735837,13889518,1654763
211361,41471432,32305333,62907457,17894272
211608,5968204,8958295,4453330,1483959
211644,49739463,18299816,42706687,22933547
211927,66773192,18557218,27797299,1909897
212115,57519839,20654907,57179133,15086392
212160,61862282,21946974,39054992,18043887
212878,50836958,28834440,65240924,29654700
213020,140869182,42369202,113579403,39429730
213349,119364010,30237132,67210686,18798705
213525,32473767,15833178,19939772,2684560
213613,66956443,14293746,35141111,9868524
213659,24663079,6553352,22647259,
213783,34186314,11028868,17703348,789287
214041,79886079,25600117,57805856,25915038
214111,62894337,14863875,36073447,1705025
214379,86933398,15772709,29374217,34084398
214661,68591057,36327741,67066,
215239,31999884,31375172,32002842,7806831
215585,27026980,10046591,16244281,8854089
215886,,,362296,
216010,89579740,23351863,50518604,31303039
216038,88884821,24897400,58765394,20171947
216296,8392436,1874385,4271653,610424
216764,203987316,42661507,123904854,25448578
216825,23206856,7957783,15739404,509521
217420,27640634,17145023,46099100,16078194
217475,21760563,12672396,32197846,10500
217484,156330621,65800266,201084765,129805415
217615,14783456,1913519,6080994,3996073
217712,12734795,4138287,3987146,385959
217819,142338396,30577083,133935670,67392448
217837,4081406,648720,599025,
217864,44171630,15531738,38956722,216686367
217882,429264219,112471204,288778074,518605638
217989,7094034,1075289,1606088,
218025,15048936,4726647,11880766,831318
218061,11829527,3368475,20347023,24221794
218113,53507115,13184327,30112506,4343039
218140,32645073,8470186,19220836,2374608
218229,22036609,7570570,16046198,13641753
218335,226189044,128490744,82352333,272318893
218353,91093147,13220632,33794392,3077092
218487,12637373,1185624,4839540,188516
218520,21805569,2902802,9060021,803934
218645,15673846,3838820,14654142,442871
218654,7149670,1754840,10111015,79000
218663,556420870,104094504,323882506,409022455
218672,967184,466565,2782897,5059815
218681,2851818,349018,1237089,
218690,2802154,353423,1709338,93030
218706,2654715,186005,516887,
218724,177249474,32266935,100845686,25583445
218733,11995895,16672319,32345800,807333
218742,26585682,6041332,28471752,6736467
218830,18389441,2910005,12354320,
218858,11813210,7907309,6744700,251664
218885,35220730,4155042,17753908,17879964
218894,66945093,18439367,45654553,4035229
218955,8071394,1588111,422495,5000
218964,26214753,23271357,46692056,36273283
218991,31874634,4731911,8991009,3900967
219046,21919615,4517646,19368918,9173568
219082,8606535,3415768,12148005,8363056
219143,3716369,3035573,4734146,1882692
219189,5419083,1384707,5149265,714631
219259,9213504,2209694,10968122,32956466
219277,52401867,8587077,2496618,39043456
219347,6471632,8170338,17019336,48300926
219356,67030663,26949758,76557971,95961474
219408,3840293,579656,480466,2101884
219426,11355060,1522795,11863741,912909
219471,68321196,21970831,56871032,182335563
219480,4800383,663850,5687397,12530
219596,,,208653,
219602,26490728,14435209,47397621,22404442
219824,10817788,4731749,24230723,2344285
219879,6201010,3434018,6288598,5168344
219888,9251941,3820223,9735072,5384415
219921,,,204199,
219994,,,1354395,
220057,6005294,2027918,4808546,3752555
220075,37767281,35722600,92743007,105331701
220127,,,494995,
220251,,,129444,
220279,,,111073,
220321,,,193669,
220394,,,74372,
220400,16407960,10825920,7947899,1413645
220640,,,570185,
220756,,,351465,
220853,,,2348386,
220862,89340875,46045020,132684540,218308239
220978,80087410,48154899,121815670,75709853
221050,,,684543,
221096,11693240,5970320,9216575,5004504
221102,,,283095,
221184,23322451,8497766,18340546,4739
221236,,,356528,
221281,,,263828,
221333,,,327645,
221388,,,46425,
221397,15146321,7793726,10530794,7321595
221430,,,140505,
221485,32444292,10299584,20457426,1325112
221494,,,393682,
221582,,,563487,
221591,,,152266,
221607,,,162129,
221616,,,406354,
221625,,,506017,
221634,,,104787,
221643,17818527,8464204,22500086,6958249
221740,26568291,19892890,50271561,98527047
221759,493906771,296170977,292506440,662941568
221768,22269907,11862912,33547189,32333362
221838,41698650,21877831,51136000,40298412
221847,43216140,17896742,47708612,65921572
221908,12259262,5730616,10275443,8312580
222053,16546624,10180041,15918340,3923510
222062,16988857,8286349,12356803,10809277
222497,117171913,77568285,0,18039306
222567,11548886,7327383,9095957,1779406
222576,53073252,21384163,15381607,3477314
222822,11460136,7868673,4590713,6024065
222831,75941914,54052652,39289804,130768225
222992,99422474,73272413,59622584,4605197
223214,66098518,39437061,29971797,66391142
223320,8680928,9369365,3067124,711878
223427,48982766,39055409,42247252,10118798
223506,5074376,5758080,8763635,4753331
223524,8184167,14047910,10505511,
223773,6397806,9014795,3017178,
223816,103456603,32833070,47233549,5584137
223898,7279651,5026458,1674009,1420962
223922,4831984,2579984,1238401,2927237
224110,25353669,5767130,13280934,6682310
224147,54472544,49191973,60712076,11282209
224253,21855111,32060150,5628978,5324217
224350,52718877,23733833,9681161,13261833
224545,15528616,2903806,7026712,4204321
224554,40990588,42038024,68637180,16529016
224572,12866685,17661309,7055269,
224615,12904773,18358014,3954468,
224642,126606749,59887895,22181240,737449
224891,2145319,1834328,809488,1330051
224961,13315155,3374512,2520989,
225070,24324837,6018448,4877086,11382131
225308,11730675,3093347,6681563,3691206
225371,17011091,6840299,3558023,9763724
225414,58343683,33445214,44003825,26016707
225423,143137782,113309337,71433953,9230118
225432,84320453,39654936,61460459,36917037
225502,16683137,20006189,16231638,15957278
225511,601128913,287783711,314306451,608081108
225520,17614359,5697393,4183889,4667815
226019,27196100,5576826,8533498,8476586
226091,118057740,87191760,92782951,27556171
226107,22591176,4598618,5184538,15524
226116,11625723,6470027,6374608,1097380
226134,74997666,24764284,8780001,2975040
226152,28785418,10380940,19250916,31828113
226204,59738811,8410872,6283578,375013
226408,19510857,7377945,3306016,1800030
226578,30929842,20526428,19436996,5478402
226806,33424798,10985690,10272180,29342561
226833,51697066,37613223,31369151,18573597
226930,8152415,11160965,4562482,
227146,37272868,22130271,14202493,3925124
227182,182928948,110178162,59682149,10224570
227191,8754919,13288587,8728650,
227216,358615348,235518232,232556926,124016876
227225,5627936,4405444,3107885,2225960
227304,31829131,11420129,7578923,838423
227368,118543799,76428457,66249050,
227377,92799324,53686682,44064822,16086317
227386,18206817,5761800,3311445,4120315
227401,23510968,7945886,5375845,16979370
227526,142416662,71893807,38614893,60242271
227687,7497825,3641081,1584341,
227766,13725084,21592761,14882983,
227854,,,10416754,
227881,202863603,117479380,115947829,74233308
227924,,,30405309,
227979,103610609,55890605,38716698,
228158,21644445,8872778,15807862,10572823
228316,11824548,8511865,5130032,3188789
228431,154187644,110280696,68185947,59287457
228459,431857741,225462455,199727426,139485773
228501,27014363,8239866,12201522,15542920
228529,54426971,43697387,51789663,33781679
228547,82787232,59110799,50245813,
228608,28657887,11384592,12237686,4892139
228635,808202725,350528184,18835124,878855485
228644,213366723,130470210,35054274,433218910
228653,458729371,352636570,29866792,495886610
228671,6499377,695610,0,
228680,33826985,20085793,12299657,215553
228699,9791665,5635401,3726660,4794559
228705,74881359,48850481,52695283,18759357
228723,646228186,558829660,423158370,8072054790
228732,864338441,3800529017,0,112352138
228769,169431143,152905909,193215064,101786656
228778,899347560,714507428,495148734,3012894720
228787,190212823,159591828,183814537,317750700
228796,132307242,106459669,85787393,196458309
228802,33921512,29084631,27363871,71690776
228909,84852911,48836294,23067187,35723860
229018,31835038,19264381,15631963,35995623
229027,142462197,182865450,181436824,100825150
229063,71252098,85919332,66123084,43516022
229090,1995117713,4428300758,0,19740282879
229115,337245478,260588340,268688368,546229422
229179,184674625,59498840,65839858,41448210
229300,226227022,169232312,39697742,227043471
229319,30728063,12673397,3906225,
229328,11130385,5012184,2434850,100429
229337,297119141,88330352,42551275,132580020
229355,29191284,32636259,13880102,36302078
229407,200400598,874394200,0,
229504,10328923,6900840,4662544,4776660
229540,33764222,8397499,8934439,9052916
229799,27857847,11027830,6973854,5109089
229814,38427601,30983565,39347848,22040886
229832,7208214,5508110,3268729,
229841,18545175,12811870,18007715,8261766
230010,,,1440836,
230162,,,2613125,
230171,24617646,5594407,28231291,10430129
230490,,,1654988,
230597,9520328,3688428,6728720,5657345
230603,49776899,14649545,35085930,21019215
230676,,,1691571,
230728,183317020,92531119,105692050,242062123
230737,109884637,31173206,109085350,16836214
230746,95906028,31388399,65197297,4018442
230764,1611004000,451560000,281981000,642219000
230782,84381643,25978482,80242607,104626321
230834,,,25081859,
230861,,,18366022,
230913,,,14730804,
230931,,,15470157,
231156,25134408,22853670,0,20538481
231165,,,17380328,
231174,255541000,90925000,266519000,350808000
231536,6781500,4585209,8268547,6006527
231624,66055121,97425402,138577693,697723724
231688,,,100056,
231697,3242109,2800740,7010208,997344
231712,36146305,29340051,33845694,19295992
231873,1199137,924674,2027551,4738968
231882,6781516,2909551,4773459,5578654
232052,1631565,711664,913258,1311492
232186,188412668,151922578,287178553,59260526
232195,8708189,4953395,12017855,2351200
232414,16737634,10316099,24381135,5493424
232423,157368725,86471367,169763877,66977946
232450,9108687,4594138,13949300,2376063
232566,58269509,19896541,29082884,57699935
232575,6685420,3945725,12513486,7012423
232681,23753706,17412845,32847082,40672332
232788,4881114,1612351,2691052,13003340
232867,6966837,2402558,8508964,4302135
232937,42927540,26689336,25557363,8470421
232946,81502199,49621858,139855819,3821228
232982,103618720,74671665,120046416,166820288
233019,2479303,1621969,3627883,10600085
233037,3216470,1925893,1690189,507105
233116,4500092,3718416,8661541,5838010
233277,115771227,34284744,52752784,40619047
233310,3688561,3017442,5140743,5135418
233338,2537914,2244356,2502687,4642059
233639,7152102,4599078,7194190,2029800
233648,2806145,2770205,3368771,
233754,12580418,9565408,19464291,5738870
233772,65437349,35654604,55560351,2750087
233897,29180946,5944232,11111901,59783582
233903,2274173,1727216,2637221,988885
233921,404915536,238138887,360814170,653700000
233949,5429858,5197516,11640501,4732715
234030,283285820,186020761,274977715,562215248
234076,972358550,556448548,421235215,5106876214
234085,20552570,11611124,23561475,337927474
234155,26222272,22787446,30903430,35441118
234225,,,101076,
234359,,,11876465,
234377,5337352,2342028,4591011,4384839
234669,105010045,11425013,42905475,5227351
234696,8102822,4084236,2652257,2635996
234711,21253984,1589251,4119915,1494460
234827,79573132,27131068,70291776,16940033
234845,17216586,1028302,3827736,8581707
234933,23215343,5053765,30279407,50997682
234951,27056057,10499735,5445138,896256
234979,32758389,3862360,7552742,14293280
235097,89631123,20820855,88337483,23483519
235103,34372998,9204740,20889434,3396195
235149,30041686,7519976,26522902,1761589
235167,36279114,13797176,34875019,10249699
235237,23802945,6063519,10229517,186859
235334,9035862,491506,1034249,7978788
235343,65270050,14726701,31115442,12249394
235431,38216715,6281949,11929324,
235671,10575647,5276491,7389778,756044
235699,7448605,2688944,6298410,466989
235750,39375989,3685678,1965498,9467577
236072,32577003,5931374,14698785,5360502
236188,28127594,6747967,21756877,9945550
236258,9679880,1753492,3087923,1290729
236382,18514082,2470204,4620624,754048
236504,16052042,2119440,12196432,10280390
236513,44877272,8496785,19953778,6612554
236610,28248521,6234084,21115461,1490522
236638,47147369,7049522,8212318,8427433
236656,19085688,5227073,13879853,5139553
236692,61439969,8517955,7293484,5489918
236708,34392551,10270766,10527326,3975173
236753,26932695,8386717,10572883,4636209
236887,15705713,4491129,4284571,2596686
236939,260014586,97935917,277446583,777643606
236948,1459051746,729414284,808052531,2432421073
236975,10772835,5578108,4030873,5897776
237011,70480453,31449553,110885904,51565424
237039,21473467,2385128,8728453,3895170
237109,44431283,3135993,5384509,8487736
237215,7336999,2175357,3893566,1407363
237242,,,220107,
237330,9311722,5906017,7387881,20222774
237367,35351255,9219799,11664609,
237385,7043187,7629609,5010770,13430149
237473,,,129714,
237491,,,64399,
237525,124440775,43222897,67806106,102389729
237561,,,312858,
237686,15083260,4803704,6499656,7550711
237729,,,158337,
237792,17926306,9249479,17822290,23268017
237817,7438231,3254420,1035804,
237844,,,294263,
237880,67116642,5215165,31809085,721044
237899,9128481,7128681,8103745,4141576
237932,11054503,8619486,13407500,10561251
238014,12969617,3051996,2361201,
238032,183161968,158792017,346518750,466400973
238263,132455054,66622099,34366773,
238397,17839757,6802990,4411123,
238722,59715520,44988195,12457090,
238759,43744450,13702091,15214977,326000
239008,15324549,7696383,6135350,845283
239220,24006572,10079481,5793449,1802783
239248,,,27309762,
239372,31415998,15323453,7064222,
239442,21248475,3066281,2451115,
239460,29471873,12020244,4935589,
239488,43754541,22248650,19946808,
239910,15432483,7092212,5042748,
240055,35494286,7466998,39491530,15630212
240116,23090452,9014538,12211243,
240125,28687022,21899037,10400577,
240170,24622607,23285308,9353405,
240189,72992711,18940468,74145245,17282001
240198,24720238,9026954,4463819,
240268,77055166,20403101,70084429,44298902
240277,35240732,7274760,26758574,28699357
240329,101495985,14005124,69014498,19271340
240365,71881891,19633193,60837894,16298926
240374,17056575,7170360,18835181,4950271
240417,44616424,14259088,45572630,41882396
240426,21807816,10496496,13058746,12207013
240435,238773246,18478829,4623011,16574184
240444,1023102961,322341845,409279803,2295273339
240453,186538353,56263533,202194691,94484369
240462,42629067,12027853,52033065,18267927
240471,42523016,10350479,35471196,18311515
240480,62381857,20249158,52302084,19309035
