UNITID,F1A01,F1A09,F1B01,F1H02   
115296,,,5042239,
115393,22825743,12988233,2151003,4712427
115755,43622491,19548103,38971993,24901110
115861,36110121,19861226,2112468,1238700
116439,,,11437555,
117052,26190095,9644517,4268007,1275414
117195,6173578,3495267,1662762,430634
117247,,,6563174,
117274,6201775,3868326,1283345,
117645,70898263,55892928,8097830,
117681,547809915,441328079,0,
117690,,,4449813,
117706,,,9108045,
117715,,,937612,
117724,,,2596082,
117733,,,5899451,
117788,,,6908398,
117803,,,413220,465016
117867,,,2802959,
117894,,,3332072,1000371
117900,255877304,63864742,4587,4318795
118347,15642338,18577045,4470529,1141934
118684,7103049,4849564,1169779,8331718
118718,27297377,15594764,4097744,6325323
118772,,,3356136,
118912,26542341,8952993,11963333,4911877
118930,,,5388844,
118976,,,6104924,6341764
119067,60150422,13127840,4650975,
119137,,,6033741,
119164,69222003,50381117,17081691,
119216,25566605,13582312,4778324,2271114
119331,21448674,12728790,3727796,
120023,171089398,42384583,0,
120290,34645567,26552306,9586847,1964501
120342,150664346,21038302,12855109,2500183
120421,,,3016870,
120953,15369899,2235958,296643,1193904
120971,177640354,27879916,15052142,3146155
121044,72766377,50757155,20593192,
121178,421274497,92343907,0,
121363,,,1213633,
121619,,,7029394,634516
121707,15870929,10780886,3274845,4344180
121886,54809829,32553795,5957829,1836692
121901,76029781,26413485,8199846,3011781
122180,,,7025586,
122205,,,20315790,
122320,104086078,74371628,19251838,
122339,27918851,19948589,5163891,
122375,27601137,19721576,5105127,
122384,13592431,9712069,2514066,
122409,262766379,92306907,185337321,162007250
122597,184977816,80126812,165424149,41269108
122658,30391319,33026557,6124673,
122737,27051345,38781101,0,19970407
122746,,,3952048,
122755,179577569,79082669,169069182,99869021
122782,40300496,8949332,2445674,
122791,95195912,21139687,5777054,
122889,97625359,24015299,24481129,27136998
122977,72855439,70164337,47325976,8322676
123013,58115754,23958667,14879586,34985072
123217,48338357,22631120,2567802,7998607
123299,17758158,9399392,4778832,2092733
123341,30488931,29731268,12455438,2657710
123484,10716396,8277852,1735214,1011937
123493,,,67809,
123509,67102519,14901125,4072180,
123527,,,4116656,
123563,170304793,20179088,3478760,
123572,83497411,36553976,53638069,31924535
123800,45448905,41554430,4640554,
123925,11983603,2963827,0,
124113,67270026,7993520,2030938,628935
124557,9144393000,9652306000,30646000,6402600000
125019,149356744,28124054,0,
125028,,,6033741,
125091,59298597,11013093,3017306,
125170,,,3268373,
125222,218067183,50503396,6457373,
125462,,,1126904,
125471,,,4099567,
126100,39296635,29910568,0,109325
126119,9910702,15079453,1941901,
126182,24018499,9378599,16902401,652489
126207,62394822,9042026,13586979,
126289,34012734,6486378,27473667,
126562,796807937,255638211,205930965,
126580,77475287,37018150,81990241,
126614,838624454,221513386,483770987,
126711,49294132,8977405,7976354,8049868
126748,4730595,1675656,3712589,
126775,130579620,42324033,98371498,230840000
126818,417190099,168773585,306238401,259082704
126863,21612632,5611394,18604364,11000
126915,,,844768,
126942,34951393,13919800,25967244,
127158,,,5737777,
127185,33360613,11309143,20210300,6209471
127200,83642828,16970192,58608998,457964
127389,3431641,776856,2304225,
127556,43384225,18272188,47832516,19284010
127565,88888398,32168749,92621047,1253912
127617,9572254,1109135,3615286,1904932
127732,11945139,2661542,4818409,1048708
127741,92449966,29439314,103803210,73727261
127778,17893295,5113166,2849868,491387
127820,52045690,11345408,38515395,2563510
127884,19865054,6014404,14406547,
127909,48610525,7948921,29410881,
128106,24691019,10231972,30320764,12416369
128151,,,1168347,
128258,7161483,2635185,3716605,7291111
128300,101460142,5790321,0,151807140
128328,,,0,
128391,25159572,6425141,14226194,
128577,8187879,1748252,3383694,137046
128771,120382303,83932591,76628434,43461520
128780,3685244,1699885,6609124,1459127
129020,689613609,383590233,274940546,328974694
129215,72459691,50472761,32600682,12324475
129367,16582292,3437902,4491286,813861
129543,22638176,3908059,8153131,554152
129695,17284115,6588282,13926707,2543060
129729,22073748,8490654,13390028,789039
129756,7479146,2617329,5614185,298278
129808,15136836,4083924,7443629,2317746
130004,15575672,6130182,13990726,16142133
130040,6216760,1678922,2388918,1110947
130217,12995337,1732602,2837142,2254282
130396,13385447,6394841,11264468,566832
130493,122407470,86550967,76414065,11695863
130606,13606334,5340769,9723754,537702
130624,,,0,
130776,68049867,42389778,39642132,
130882,2691519,391537,2400,15398407
130891,15690866,1678942,14283656,
130907,15405052,1634380,9446910,
130916,46209562,3561421,22193603,
130934,50042574,19916712,26393346,19308751
131399,48257352,62641535,29414170,37773676
132374,,,5848652,
132675,,,329227,
132693,43801434,7558231,20782521,16114032
132709,65871934,21892479,40502117,36633315
132851,10181280,3188328,7119484,46987846
132903,468618972,79606519,262225771,133827336
132976,,,764775,
133021,6672118,1239553,2211229,14311829
133155,,,1426678,
133386,39067081,10028097,16551231,5734755
133508,25227901,5184472,16955057,17938055
133650,136879608,23743020,59863621,80071496
133669,223870512,40429206,130687011,189286602
133702,27571503,10873112,36730799,37690939
133951,365445849,75796341,251226703,234364817
133960,5527764,1334484,2085976,
134097,653438776,103994183,225566615,548094856
134130,1213434000,244088000,352444000,1360073000
134291,,,394451,
134307,,,979739,
134343,20503823,4353651,4832971,26633251
134495,33115085,7360568,48551606,2137327
134608,28980455,7421354,16336936,21012906
135160,8953551,1585132,2906170,3374151
135179,,,921726,
135188,7431072,2584946,5109399,4147114
135267,,,1746862,
135276,,,1407871,
135294,,,1122280,
135391,29876107,2840146,18982755,11913595
135407,,,3367430,
135522,,,951239,
135647,,,1237495,
135717,218246439,103132708,77692440,183483466
135735,,,8215878,
136145,3963876,497880,797181,1711524
136172,82780942,19005537,69658430,84181773
136233,14325686,1812736,10008186,35695464
136303,,,760225,
136358,35209476,7271534,38581227,17516238
136400,37263640,8944152,9625621,30129499
136473,22178448,6408107,11710264,8656678
136491,,,1798601,
136516,26596552,3585124,11086923,11056857
136659,,,161069,
136765,,,866761,
136826,,,1237776,
137023,,,1831396,
137078,45459834,16768219,42944736,26641634
137087,,,1281926,
137096,117688531,83050612,25450505,22646593
137120,,,2812084,
137209,20596693,3366653,26788466,10888549
137245,,,3990317,
137281,18149735,1364094,7596414,1695317
137315,10181548,1712419,1947052,5021548
137351,464422623,123180376,215710117,332403028
137713,,,311883,
137759,31779783,6619813,18933196,9043267
137856,,,344427,
137865,,,922192,
138187,68857415,16398378,52178779,57675554
138284,,,1065650,
138354,91369929,10902884,58495629,47755412
138372,,,1122901,
138479,,,2657461,
138488,,,1204140,
138497,,,1305569,
138558,6605464,3518955,5394870,10540616
138682,4441921,3470059,4577276,
138691,10126256,4352820,12466412,1154176
138716,14271575,5882257,16227815,1776151
138789,24490407,7732770,29948421,9149723
138840,4250595,3781918,4401867,
138901,4674488,1895036,3523000,
138956,8559496,3232425,3356753,
139010,6352625,2366417,6788915,718131
139250,3540953,2800218,5921194,6234346
139278,6688366,3572664,7510480,
139311,13612213,6570560,27046979,4008142
139357,6676274,2689566,6067035,
139366,24129097,10828393,40906237,44790780
139384,2763990,3151309,6121826,
139463,7887527,2141397,8376203,9570215
139621,4745778,1615598,3876826,191835
139700,6445704,2319267,10273549,33299
139719,7728075,8156490,9512951,5702506
139746,,,369000,
139755,306877204,148496331,271444683,1714876000
139764,10245035,4688376,11688171,12187612
139861,24119146,11720943,48336371,32019262
139904,20995520,6615547,25071794,11392876
139931,58102738,27376599,106587178,42242301
139940,224657473,81522526,225375296,163128159
139959,374569087,132412134,349901990,71829738
139968,10104402,3368881,6326468,2344661
139986,7409173,3790544,6514721,
140012,14315020,9129768,12104363,
140164,67530707,109361359,122535115,25035000
140243,5920315,4248285,5489516,
140331,12006145,10246940,17089332,
140599,3909489,1386830,2272967,
140678,3786129,2072883,3739927,
140942,7261272,2938931,6024032,
140960,14613404,5959545,12316374,4348674
141006,2359299,1970893,2660472,
141097,14489215,11308065,32806270,6380087
141158,1841916,913207,2177736,676829
141255,3251090,2742819,6037687,
141264,31662981,17343357,60105797,30646943
141334,55857444,14566551,55871970,21976974
141565,35256586,18199188,24251102,232176
141574,305567773,170950277,162327668,34853918
141680,10787004,0,6369074,
141796,21549381,6937512,18338095,
141802,3000987,1613704,1548084,
141811,14578094,7324395,11945267,
141839,7190089,4407572,5156017,297693
141963,63988547,47117103,624050,32254314
141981,8097606,5983670,5719892,162359
141990,4948232,2895962,2859661,
142115,142520791,61958428,106593359,83004400
142179,3741851,909094,785091,789505
142276,121163582,31931137,73937311,41556154
142285,60276473,55435137,82657950,209397682
142328,33664206,6131520,14678929,5151913
142443,20629881,6060479,7684257,16222837
142559,34873908,6315178,7526088,
143215,103484390,58373799,27710479,3241431
143279,75066923,9411607,7613048,4397110
143613,26588226,14047906,4467196,9780565
144005,32080772,18623741,39645373,3632365
144157,,,6845544,
144166,,,3499949,
